R14,-9.50,16.30,0.00,2.2,CPF0201D7K68C1_0201
R15,9.70,-3.40,180.00,10k,CPF0201D7K68C1_0201
R2,3.10,-14.40,270.00,0,CPF0201D7K68C1_0201
R3,16.00,-10.50,0.00,0,CPF0201D7K68C1_0201
R4,20.10,-3.90,274.40,3k3,CPF0201D7K68C1_0201
R5,20.30,-5.30,0.00,3k3,CPF0201D7K68C1_0201
R6,11.00,-8.60,180.00,0,CPF0201D7K68C1_0201
R7,0.40,9.70,0.00,5k1,CPF0201D7K68C1_0201
R8,-7.40,16.50,270.00,5k1,CPF0201D7K68C1_0201
R9,-5.80,-11.80,0.00,10k,CPF0201D7K68C1_0201
SJ2,-20.00,9.30,0.00,0,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,17.20,-15.80,270.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,6.80,-15.50,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-18.40,-14.80,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OUT+,21.70,-9.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OUT-,16.30,-12.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,1.40,-7.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWCLK,11.30,2.00,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,14.60,-3.20,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,3.90,-6.50,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-4.10,-12.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT_GND,-20.70,-12.80,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-5.50,-16.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,13.10,-11.30,180.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
U2,0.70,1.00,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
X1,4.80,8.70,180.00,32Mhz,NORDIC_NRF_BT-XTAL_2016_N
X2,0.10,7.50,0.10,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
